Date,Close,High,Low,Open,Volume,Ticker
5/13/2021,4112.5,4131.580078,4074.98999,4074.98999,4779540000,^GSPC
5/14/2021,4173.850098,4183.129883,4129.580078,4129.580078,4008880000,^GSPC
5/17/2021,4163.290039,4171.919922,4142.689941,4169.919922,4125050000,^GSPC
5/18/2021,4127.830078,4169.149902,4125.990234,4165.939941,4398150000,^GSPC
5/19/2021,4115.680176,4116.930176,4061.409912,4098.450195,4247450000,^GSPC
5/20/2021,4159.120117,4172.799805,4121.970215,4121.970215,3978880000,^GSPC
5/21/2021,4155.859863,4188.720215,4151.720215,4168.609863,3995250000,^GSPC
5/24/2021,4197.049805,4209.52002,4170.160156,4170.160156,3684800000,^GSPC
5/25/2021,4188.129883,4213.419922,4182.52002,4205.939941,4182250000,^GSPC
5/26/2021,4195.990234,4202.609863,4184.109863,4191.589844,4420890000,^GSPC
5/27/2021,4200.879883,4213.379883,4197.779785,4201.939941,6406310000,^GSPC
5/28/2021,4204.109863,4218.359863,4203.569824,4210.77002,4649250000,^GSPC
6/1/2021,4202.040039,4234.120117,4197.589844,4216.52002,5074670000,^GSPC
6/2/2021,4208.120117,4217.370117,4198.27002,4206.819824,5833670000,^GSPC
6/3/2021,4192.850098,4204.390137,4167.930176,4191.430176,5587970000,^GSPC
6/4/2021,4229.890137,4233.450195,4206.049805,4206.049805,4139790000,^GSPC
6/7/2021,4226.52002,4232.339844,4215.660156,4229.339844,4476920000,^GSPC
6/8/2021,4227.259766,4236.740234,4208.410156,4233.810059,4659620000,^GSPC
6/9/2021,4219.549805,4237.089844,4218.740234,4232.990234,4713260000,^GSPC
6/10/2021,4239.180176,4249.740234,4220.339844,4228.560059,4408210000,^GSPC
6/11/2021,4247.439941,4248.379883,4232.25,4242.899902,3815010000,^GSPC
6/14/2021,4255.149902,4255.589844,4234.069824,4248.310059,4151200000,^GSPC
6/15/2021,4246.589844,4257.160156,4238.350098,4255.279785,4048940000,^GSPC
6/16/2021,4223.700195,4251.890137,4202.450195,4248.870117,4538350000,^GSPC
6/17/2021,4221.859863,4232.290039,4196.049805,4220.370117,5312680000,^GSPC
6/18/2021,4166.450195,4204.779785,4164.399902,4204.779785,6817010000,^GSPC
6/21/2021,4224.790039,4226.240234,4173.399902,4173.399902,4128950000,^GSPC
6/22/2021,4246.439941,4255.839844,4217.27002,4224.609863,3828390000,^GSPC
6/23/2021,4241.839844,4256.600098,4241.430176,4249.27002,3730350000,^GSPC
6/24/2021,4266.490234,4271.279785,4256.970215,4256.970215,3816660000,^GSPC
6/25/2021,4280.700195,4286.120117,4271.160156,4274.450195,7341450000,^GSPC
6/28/2021,4290.609863,4292.140137,4274.669922,4284.899902,4147890000,^GSPC
