Date,Close,High,Low,Open,Volume,Ticker
8/10/2021,1728.800049,1735.199951,1720.099976,1728.599976,1363,GC=F
8/11/2021,1750.400024,1752.199951,1727.300049,1727.300049,542,GC=F
8/12/2021,1749,1752.400024,1745.5,1749.699951,739,GC=F
8/13/2021,1775.199951,1777.300049,1757.400024,1758.300049,436,GC=F
8/16/2021,1786.900024,1787.800049,1771.900024,1776.900024,219,GC=F
8/17/2021,1785,1794.199951,1780,1787.699951,200,GC=F
8/18/2021,1781.599976,1791.5,1779,1787.800049,263,GC=F
8/19/2021,1780.199951,1789.300049,1775.5,1780,245,GC=F
8/20/2021,1781,1787.5,1778.199951,1784.099976,235,GC=F
8/23/2021,1803.199951,1804.800049,1776.800049,1776.800049,32,GC=F
8/24/2021,1805.599976,1805.599976,1801,1801,22,GC=F
8/25/2021,1788.199951,1792.900024,1784,1792,812,GC=F
8/26/2021,1792.199951,1792.199951,1781,1787.400024,61,GC=F
8/27/2021,1816.599976,1816.599976,1803.099976,1803.400024,1219,GC=F
8/30/2021,1809,1820.300049,1807.800049,1818.199951,684,GC=F
8/31/2021,1815,1815.900024,1801.099976,1815.900024,82,GC=F
9/1/2021,1813.099976,1815.900024,1809.5,1813.5,114,GC=F
9/2/2021,1808.699951,1813.900024,1806.800049,1813.199951,26,GC=F
9/3/2021,1830.900024,1833.900024,1818.900024,1820.900024,53,GC=F
9/7/2021,1795.900024,1825.699951,1792.699951,1825.699951,48,GC=F
9/8/2021,1790.699951,1790.699951,1781.699951,1781.699951,69,GC=F
9/9/2021,1797.400024,1798.699951,1787.900024,1798.699951,49,GC=F
9/10/2021,1789.599976,1789.599976,1789.599976,1789.599976,0,GC=F
9/13/2021,1792,1796,1784,1789.800049,533,GC=F
9/14/2021,1804.699951,1806.199951,1783,1791.400024,764,GC=F
9/15/2021,1792.400024,1803.699951,1792.400024,1803.699951,59,GC=F
9/16/2021,1754.599976,1792.900024,1743.900024,1792.900024,1645,GC=F
9/17/2021,1749.400024,1763,1749.400024,1758.800049,581,GC=F
9/20/2021,1761.800049,1761.800049,1750.900024,1751.800049,185,GC=F
